epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7443,1.11969,3.63192,0.94883,0.00333,1,0.30278,0.27917,0.44226,3.2851,0.82805,0.0003,0.0003,0.0973
2,22.9421,0.78743,3.35192,0.89261,0.00333,1,0.63201,0.58644,0.42942,3.19546,0.81905,0.00068614,0.00068614,0.0936861
3,33.8667,0.72762,3.14819,0.86688,0.00333,1,0.40691,0.36897,0.4777,3.26703,0.81582,0.00105644,0.00105644,0.0900564
4,45.3386,0.69329,3.33718,0.81285,0.00333,1,0.49656,0.44644,0.44719,3.35868,0.80721,0.0014109,0.0014109,0.0864109
5,56.9764,0.52522,3.12437,0.83193,0.00333,1,0.80438,0.72394,0.39822,3.23718,0.80939,0.00174952,0.00174952,0.0827495
6,67.929,0.52333,2.83574,0.78915,0.00333,1,0.94045,0.84641,0.4244,3.16667,0.8056,0.0020723,0.0020723,0.0790723
7,78.9128,0.54121,2.27776,0.81849,0.00333,1,0.995,0.88429,0.40159,3.12434,0.78906,0.00237924,0.00237924,0.0753792
8,89.5739,0.63653,1.93657,0.77801,0.00333,1,0.995,0.91639,0.41208,2.94197,0.80766,0.00267034,0.00267034,0.0716703
9,100.068,0.66709,1.75283,0.82016,0.00333,1,0.995,0.86619,0.59445,2.88991,0.82037,0.0029456,0.0029456,0.0679456
10,110.739,0.56813,1.50022,0.83056,0.26055,1,0.995,0.86155,0.48481,2.69313,0.80584,0.00320502,0.00320502,0.064205
11,121.49,0.52944,1.57617,0.82615,0.00693,1,0.995,0.94716,0.29652,2.68018,0.79742,0.0034486,0.0034486,0.0604486
12,132.05,0.40524,1.01151,0.79312,0.94511,1,0.995,0.90537,0.40746,2.62305,0.79947,0.00367634,0.00367634,0.0566763
13,142.661,0.40166,1.17863,0.77513,0.9763,1,0.995,0.91029,0.42742,2.56237,0.80398,0.00388824,0.00388824,0.0528882
14,153.051,0.48464,0.98667,0.80768,0.93664,1,0.995,0.91503,0.46937,2.5586,0.80998,0.0040843,0.0040843,0.0490843
15,163.512,0.46774,1.01829,0.79416,1,0.91566,0.995,0.91833,0.34498,2.41507,0.80949,0.00426452,0.00426452,0.0452645
16,174.148,0.45105,0.90291,0.82881,1,0.93863,0.995,0.87571,0.48045,2.35437,0.80852,0.0044289,0.0044289,0.0414289
